client_id,nom_complet,age,emploi,balance_moyenne,date_acquisition,anciennete_mois,cout_acquisition,segment
CLI_0001,Alexandre Bernard,40,Cadre,35271.63,2020-07-29,68,111.4,Standard
CLI_0002,Jean Laurent,71,Profession libérale,65767.7,2023-03-24,35,149.4,Standard
CLI_0003,Luc Thomas,54,Artisan/Commerçant,8510.29,2023-07-03,32,281.25,Standard
CLI_0004,Sophie Dubois,49,Retraité,27995.97,2023-12-11,27,149.91,Standard
CLI_0005,Laura Bernard,30,Artisan/Commerçant,15578.41,2021-02-28,60,112.63,Standard
CLI_0006,Alexandre Laurent,30,Retraité,34650.57,2025-09-09,5,339.85,Standard
CLI_0007,David Leroy,25,Retraité,36994.79,2022-05-21,45,133.97,Standard
CLI_0008,Marie Moreau,64,Artisan/Commerçant,3267.45,2021-09-25,53,173.21,Standard
CLI_0009,Thomas Martin,49,Employé,10762.26,2025-05-29,9,166.34,Standard
CLI_0010,Jean Bernard,53,Employé,2673.87,2022-07-07,44,138.51,Standard
CLI_0011,Sophie Thomas,21,Employé,9135.16,2021-03-19,60,84.03,Standard
CLI_0012,Nicolas Moreau,72,Sans emploi,3013.43,2023-12-05,27,112.53,Standard
CLI_0013,Jean Leroy,61,Fonctionnaire,8908.43,2024-02-14,24,281.29,Standard
CLI_0014,Sophie Laurent,33,Cadre,20883.13,2021-04-15,59,96.71,Standard
CLI_0015,Alexandre Laurent,32,Retraité,27881.36,2023-02-15,36,143.89,Standard
CLI_0016,Nicolas Petit,32,Fonctionnaire,9344.8,2022-07-15,44,129.33,Standard
CLI_0017,Sophie Durand,37,Cadre,37971.46,2024-10-23,16,169.47,Standard
CLI_0018,Camille Robert,46,Profession libérale,38316.92,2020-04-17,71,187.98,Standard
CLI_0019,François Michel,42,Fonctionnaire,5093.65,2022-12-31,38,82.62,Standard
CLI_0020,Jean Lefebvre,37,Cadre,40269.19,2020-04-28,71,159.65,Standard
CLI_0021,François Dubois,49,Retraité,17144.27,2022-01-08,50,195.61,Standard
CLI_0022,Laura Petit,29,Employé,7625.97,2023-01-24,37,147.22,Standard
